registry_id,source_record_id,name,operator,provider_family,city,state,country,region_continent,latitude,longitude,status,website,net_count,ix_count,carrier_count,source_system,source_url,record_scope,is_us,is_illinois
PDB-1,1,"Equinix DC1-DC15,DC21-DC22 - Ashburn","Equinix, Inc.",Equinix,Ashburn,VA,US,North America,39.016363,-77.459023,ok,http://www.equinix.com/,502.0,8.0,13.0,PeeringDB,https://www.peeringdb.com/fac/1,global,1,0
PDB-2,2,Digital Realty SFO (200 Paul),Digital Realty,Digital Realty,San Francisco,CA,US,North America,37.723407,-122.397923,ok,https://www.digitalrealty.com,45.0,2.0,2.0,PeeringDB,https://www.peeringdb.com/fac/2,global,1,0
PDB-4,4,Equinix DA1 - Dallas,"Equinix, Inc.",Equinix,Dallas,TX,US,North America,32.800955,-96.81955,ok,https://www.equinix.com/locations/americas-colocation/united-states-colocation/dallas-data-centers/da1/,165.0,5.0,8.0,PeeringDB,https://www.peeringdb.com/fac/4,global,1,0
PDB-5,5,"Equinix SV8 - Silicon Valley, Palo Alto","Equinix, Inc.",Equinix,Palo Alto,CA,US,North America,37.445896,-122.160775,ok,https://www.equinix.com/locations/americas-colocation/united-states-colocation/silicon-valley-data-centers/sv8/,68.0,4.0,2.0,PeeringDB,https://www.peeringdb.com/fac/5,global,1,0
PDB-6,6,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose","Equinix, Inc.",Equinix,San Jose,CA,US,North America,37.241767,-121.782967,ok,https://www.equinix.com/locations/americas-colocation/united-states-colocation/silicon-valley-data-centers/,281.0,8.0,7.0,PeeringDB,https://www.peeringdb.com/fac/6,global,1,0
PDB-7,7,Equinix CH1/CH2/CH4 - Chicago,"Equinix, Inc.",Equinix,Chicago,IL,US,North America,41.85365,-87.618342,ok,http://www.equinix.com/,327.0,10.0,13.0,PeeringDB,https://www.peeringdb.com/fac/7,global,1,1
PDB-8,8,Equinix LA1 - Los Angeles,"Equinix, Inc.",Equinix,Los Angeles,CA,US,North America,34.047501,-118.2573,ok,https://www.equinix.com/locations/americas-colocation/united-states-colocation/los-angeles-data-centers/la1/,142.0,6.0,9.0,PeeringDB,https://www.peeringdb.com/fac/8,global,1,0
PDB-9,9,"Equinix NY1 - New York, Newark","Equinix, Inc.",Equinix,Newark,NJ,US,North America,40.736844,-74.173402,ok,https://www.equinix.com/locations/americas-colocation/united-states-colocation/new-york-data-centers/ny1/,34.0,2.0,5.0,PeeringDB,https://www.peeringdb.com/fac/9,global,1,0
PDB-10,10,Digital Realty NYC (60 Hudson),Digital Realty,Digital Realty,New York,NY,US,North America,40.717723,-74.008299,ok,https://www.digitalrealty.com,160.0,8.0,8.0,PeeringDB,https://www.peeringdb.com/fac/10,global,1,0
PDB-11,11,Equinix AT2/AT3 - Atlanta,"Equinix, Inc.",Equinix,Atlanta,GA,US,North America,33.755456,-84.39153,ok,http://www.equinix.com/,24.0,1.0,3.0,PeeringDB,https://www.peeringdb.com/fac/11,global,1,0
PDB-12,12,Equinix TR1 - Toronto,"Equinix, Inc.",Equinix,Toronto,ON,CA,North America,43.644672,-79.384128,ok,https://www.equinix.com/locations/americas-colocation/canada-colocation/toronto-data-center/tr1/,46.0,5.0,1.0,PeeringDB,https://www.peeringdb.com/fac/12,global,0,0
PDB-15,15,"Equinix MI1 - Miami, NOTA","Equinix, Inc.",Equinix,Miami,FL,US,North America,25.782648,-80.193157,ok,https://www.equinix.com/locations/americas-colocation/united-states-colocation/miami-data-centers/mi1/,322.0,9.0,15.0,PeeringDB,https://www.peeringdb.com/fac/15,global,1,0
PDB-16,16,Digital Realty NYC (111 8th Ave),Digital Realty,Digital Realty,New York,NY,US,North America,40.741469,-74.003387,ok,https://www.digitalrealty.com,131.0,6.0,3.0,PeeringDB,https://www.peeringdb.com/fac/16,global,1,0
