GEOID,County_Name,Grid_Primary_Subregion,Grid_Primary_Subregion_Area_Pct,Grid_Subregion_Coverage_Pct,Grid_Clean_Share_Pct,Grid_Fossil_Share_Pct,Grid_Carbon_Intensity_lb_per_MWh,Grid_Carbon_Intensity_kg_per_MWh,Grid_Est_CO2_kt_per_100MWyr,eGRID_Data_Year,Grid_Source
17001,Adams County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17003,Alexander County,SRMW,100.0,100.0,31.79,68.21,1238.3,561.68,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17005,Bond County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17007,Boone County,RFCW,100.0,100.0,36.09,63.91,911.34,413.37,399.16,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17009,Brown County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17011,Bureau County,SRMW,100.0,100.0,31.79,68.21,1238.29,561.68,542.37,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17013,Calhoun County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17015,Carroll County,RFCW,100.0,100.0,36.09,63.91,911.34,413.37,399.16,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17017,Cass County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17019,Champaign County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17021,Christian County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17023,Clark County,SRMW,100.0,100.0,31.79,68.21,1238.29,561.68,542.37,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17025,Clay County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17027,Clinton County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17029,Coles County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17031,Cook County,RFCW,99.7,99.7,36.09,63.91,911.34,413.37,399.16,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17033,Crawford County,SRMW,100.0,100.0,31.79,68.21,1238.28,561.67,542.37,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17035,Cumberland County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17037,DeKalb County,RFCW,87.7,100.0,35.56,64.44,951.39,431.55,416.71,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17039,De Witt County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17041,Douglas County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17043,DuPage County,RFCW,100.0,100.0,36.09,63.91,911.34,413.37,399.16,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17045,Edgar County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17047,Edwards County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17049,Effingham County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17051,Fayette County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17053,Ford County,SRMW,95.8,100.0,31.97,68.03,1224.45,555.4,536.31,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17055,Franklin County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17057,Fulton County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17059,Gallatin County,SRMW,100.0,100.0,31.79,68.21,1238.22,561.65,542.34,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17061,Greene County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17063,Grundy County,RFCW,98.8,100.0,36.04,63.96,915.42,415.23,400.95,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17065,Hamilton County,SRMW,100.0,100.9,31.96,68.04,1235.53,560.43,541.16,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17067,Hancock County,SRMW,100.0,100.0,31.79,68.21,1238.3,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17069,Hardin County,SRMW,99.9,100.0,31.8,68.2,1238.05,561.57,542.27,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17071,Henderson County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17073,Henry County,SRMW,81.6,100.0,35.31,64.69,1179.69,535.1,516.7,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17075,Iroquois County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17077,Jackson County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17079,Jasper County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17081,Jefferson County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17083,Jersey County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17085,Jo Daviess County,RFCW,100.0,100.0,36.09,63.91,911.38,413.39,399.18,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17087,Johnson County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17089,Kane County,RFCW,100.0,100.0,36.09,63.91,911.34,413.37,399.17,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17091,Kankakee County,RFCW,75.7,100.0,35.04,64.96,990.92,449.47,434.02,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17093,Kendall County,SRMW,61.6,100.0,33.44,66.56,1112.78,504.75,487.4,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17095,Knox County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17097,Lake County,RFCW,99.4,99.4,36.09,63.91,911.34,413.37,399.16,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17099,LaSalle County,SRMW,75.7,100.0,32.83,67.17,1158.92,525.68,507.61,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17101,Lawrence County,SRMW,100.0,100.0,31.79,68.21,1238.3,561.68,542.37,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17103,Lee County,RFCW,86.6,100.0,35.52,64.48,955.08,433.22,418.33,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17105,Livingston County,SRMW,63.3,100.0,33.37,66.63,1118.18,507.2,489.76,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17107,Logan County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17109,McDonough County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17111,McHenry County,RFCW,100.0,100.0,36.09,63.91,911.34,413.38,399.17,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17113,McLean County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17115,Macon County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17117,Macoupin County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17119,Madison County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17121,Marion County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17123,Marshall County,SRMW,89.1,100.0,32.26,67.74,1202.74,545.55,526.8,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17125,Mason County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17127,Massac County,SRMW,99.9,100.0,31.8,68.2,1238.03,561.56,542.26,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17129,Menard County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17131,Mercer County,SRMW,96.0,100.1,32.59,67.41,1225.23,555.75,536.65,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17133,Monroe County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17135,Montgomery County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17137,Morgan County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17139,Moultrie County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17141,Ogle County,RFCW,100.0,100.0,36.09,63.91,911.34,413.37,399.16,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17143,Peoria County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17145,Perry County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17147,Piatt County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17149,Pike County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17151,Pope County,SRMW,100.0,100.0,31.79,68.21,1238.21,561.64,542.34,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17153,Pulaski County,SRMW,99.9,100.0,31.8,68.2,1238.02,561.55,542.25,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
17155,Putnam County,SRMW,100.0,100.0,31.79,68.21,1238.31,561.69,542.38,2023,EPA eGRID 2023 (Subregions + PLNT23 via ArcGIS Feature Services)
