GEOID,County_Name,EJScreen_BlockGroup_Count,EJScreen_Pop_Weighted_Minority_Pct,EJScreen_Pop_Weighted_LowIncome_Pct,EJScreen_Pop_Weighted_PM25,EJScreen_Pop_Weighted_Ozone,EJScreen_Pop_Weighted_DieselPM,EJScreen_Pop_Weighted_PM25_Pctl,EJScreen_Pop_Weighted_Ozone_Pctl,EJScreen_Pop_Weighted_DieselPM_Pctl,EJScreen_Pop_Weighted_CancerRisk_Pctl,EJScreen_Pop_Weighted_RespHazard_Pctl,EJScreen_Pop_Weighted_TrafficProx_Pctl,EJScreen_Pollution_Burden_Index,EJScreen_Demographic_Burden_Index,EJScreen_Justice_Index,E_TOTPOP,EP_POV150,EP_HBURD,EP_NOHSDP,EP_NOVEH,EP_UNEMP,EP_UNINSUR,EP_GROUPQ,CDC_SVI_Overall_Pctl,CDC_SVI_Theme1_SES_Pctl,CDC_SVI_Theme2_HHDisability_Pctl,CDC_SVI_Theme3_MinorityLanguage_Pctl,CDC_SVI_Theme4_HousingTransport_Pctl,Justice_EJ_Burden_Index,Justice_CDC_SVI_Index,Social_Environmental_Justice_Index,Justice_Data_Coverage_Pct,Justice_Source
17001,Adams County,61,8.16,30.42,8.65,45.62,0.28,53.01,74.6,32.72,23.39,21.4,38.24,40.56,19.29,32.05,65670,20.9,20.0,7.8,7.3,4.1,4.8,2.1,28.29,16.96,41.95,27.78,56.52,32.05,28.29,29.75,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17003,Alexander County,9,37.8,51.56,9.31,46.16,0.38,75.08,77.74,47.88,43.79,39.78,31.1,52.56,44.68,49.41,6011,37.9,27.5,14.2,10.4,7.7,7.9,2.6,92.3,88.96,91.15,76.42,83.23,49.41,92.3,81.21,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17005,Bond County,15,12.01,32.06,8.95,48.11,0.25,63.0,85.6,27.5,22.81,22.51,23.46,40.81,22.04,33.3,16520,24.8,19.2,10.1,7.2,2.6,6.1,10.8,43.35,22.18,9.55,39.08,98.31,33.3,43.35,37.99,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17007,Boone County,27,26.56,29.17,8.31,44.32,0.3,40.92,65.46,36.57,17.82,17.47,33.3,35.26,27.86,32.3,53293,14.7,25.9,13.3,3.4,7.5,5.3,0.7,41.53,51.85,69.45,65.02,8.5,32.3,41.53,35.84,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17009,Brown County,6,26.1,29.36,8.5,45.64,0.17,47.51,74.68,13.74,14.89,12.64,22.21,30.94,27.73,29.66,6599,23.1,14.6,17.6,5.8,3.1,6.2,28.1,45.54,27.18,13.02,63.53,91.44,29.66,45.54,33.98,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17011,Bureau County,37,11.98,29.83,8.57,45.26,0.24,50.25,72.56,25.9,12.01,11.09,24.92,32.79,20.9,28.03,32878,21.8,19.7,9.3,5.8,5.0,4.8,1.3,27.21,25.18,66.71,40.23,15.88,28.03,27.21,23.8,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17013,Calhoun County,5,3.03,28.27,8.78,46.85,0.29,57.56,81.04,33.96,31.13,28.87,,46.51,15.65,34.17,4782,14.4,16.0,6.4,3.3,4.4,1.0,2.6,3.09,4.2,17.31,3.44,9.36,34.17,3.09,21.7,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17015,Carroll County,18,6.75,28.6,8.0,42.67,0.23,31.99,48.89,23.62,10.25,9.28,29.62,25.61,17.68,22.44,14398,17.9,19.1,9.9,4.6,5.8,5.3,4.0,14.7,25.43,10.6,20.94,22.37,22.44,14.7,10.74,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17017,Cass County,15,24.03,37.63,8.71,46.12,0.27,55.18,77.52,30.79,18.22,19.46,34.47,39.27,30.83,35.89,12324,24.1,19.5,16.6,5.9,6.4,4.8,1.3,55.32,49.11,81.32,62.32,31.51,35.89,55.32,46.72,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17019,Champaign County,150,32.32,40.4,8.71,45.97,0.33,55.34,76.63,40.64,25.66,22.29,51.97,45.42,36.36,41.8,210006,26.6,29.2,5.1,11.6,4.8,4.4,7.3,56.05,38.54,5.22,72.12,99.05,41.8,56.05,55.09,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
