GEOID,County_Name,LandCover_Agricultural_Pct,LandCover_Forested_Pct,LandCover_UrbanBuiltUp_Pct,LandCover_Wetland_Pct,LandCover_Agricultural_Rank,LandCover_Forested_Rank,LandCover_UrbanBuiltUp_Rank,LandCover_Wetland_Rank,Total_Site_Count,Chicago_Zoning_Site_Covered_Count,Chicago_Zoning_Residential_Site_Count,Chicago_Zoning_Industrial_Site_Count,Chicago_Zoning_Commercial_Site_Count,Chicago_Zoning_Special_Site_Count,Chicago_Zoning_Residential_Nearby500m_Count,Chicago_Zoning_Coverage_Pct,Chicago_Zoning_Residential_Site_Share_Pct,Chicago_Zoning_IndustrialCommercial_Site_Share_Pct,Chicago_Zoning_Residential_Nearby500m_Share_Pct,Zoning_Annoyance_Threshold_Index,Zoning_Allowance_Index,LandUse_Zoning_Data_Coverage_Pct,LandUse_Zoning_Source
17001,Adams County,76.1,14.2,3.6,3.9,60.0,35.0,31.0,41.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17003,Alexander County,52.5,26.1,2.8,11.1,95.0,9.0,49.0,6.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17005,Bond County,74.4,16.1,2.4,6.3,63.0,27.0,61.0,24.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17007,Boone County,87.5,4.5,5.6,1.8,20.0,84.0,31.0,85.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17009,Brown County,63.9,31.2,1.1,2.9,85.0,5.0,31.0,56.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17011,Bureau County,86.9,7.1,2.4,2.8,22.0,72.0,31.0,57.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17013,Calhoun County,49.8,29.7,2.1,7.6,97.0,6.0,31.0,22.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17015,Carroll County,77.9,13.1,1.8,2.7,54.0,41.0,31.0,61.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17017,Cass County,74.9,12.4,2.0,8.5,62.0,47.0,31.0,14.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17019,Champaign County,91.8,1.0,5.8,1.2,10.0,100.0,31.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.93,,66.7,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
