GEOID,County_Name,FAA_Airport_Count,FAA_Airports_With_Operations,FAA_Airports_With_Enplanements,FAA_Airport_Operations_Total,FAA_Enplanements_Total,FAA_Passengers_Total,FAA_Airport_Density_per_1000km2,FAA_Noise_Exposure_Index,Chicago_311_Noise_AnnualAvg_Recent3yr,Chicago_311_Noise_Total_Recent3yr,Chicago_311_Industrial_Total_Recent3yr,Chicago_311_Noise_per_100k,EPA_TRI_Facility_Count,EPA_TRI_Active_Facility_Count,EPA_TRI_Facility_Density_per_1000km2,EPA_TRI_Active_Facilities_per_100k,EPA_TRI_Industrial_Pressure_Index,Noise_Community_Impact_Index,Noise_Community_Data_Year_Max,Noise_Community_Recent_Window,Noise_Community_Source
17001,Adams County,5.0,1.0,1.0,22595.0,10114.0,7063.0,2.22,53.3,0.0,0.0,0.0,0.0,34.0,32.0,14.18,48.68,56.0,36.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17003,Alexander County,4.0,1.0,0.0,9000.0,0.0,0.0,6.11,49.8,0.0,0.0,0.0,0.0,3.0,3.0,4.59,57.25,36.0,41.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17005,Bond County,4.0,1.0,0.0,25000.0,0.0,0.0,4.03,48.9,0.0,0.0,0.0,0.0,3.0,3.0,3.03,17.94,29.7,34.1,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17007,Boone County,12.0,1.0,0.0,66000.0,0.0,0.0,16.43,68.5,0.0,0.0,0.0,0.0,16.0,16.0,21.9,29.94,50.4,48.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17009,Brown County,2.0,1.0,0.0,3000.0,0.0,0.0,2.51,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17011,Bureau County,14.0,0.0,0.0,0.0,0.0,0.0,6.19,17.5,0.0,0.0,0.0,0.0,14.0,14.0,6.19,42.11,46.1,20.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17013,Calhoun County,4.0,0.0,0.0,0.0,0.0,0.0,5.45,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17015,Carroll County,5.0,1.0,0.0,4000.0,0.0,0.0,4.13,42.6,0.0,0.0,0.0,0.0,9.0,9.0,7.44,57.32,44.9,33.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17017,Cass County,5.0,1.0,0.0,3000.0,0.0,0.0,5.03,43.7,0.0,0.0,0.0,0.0,2.0,2.0,2.01,15.34,25.6,31.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17019,Champaign County,13.0,3.0,1.0,102651.0,86190.0,64777.0,5.03,69.3,0.0,0.0,0.0,0.0,28.0,27.0,10.44,13.12,48.0,52.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17021,Christian County,8.0,1.0,0.0,14000.0,0.0,0.0,4.32,47.5,0.0,0.0,0.0,0.0,8.0,8.0,4.32,23.51,38.4,33.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17023,Clark County,2.0,1.0,0.0,8000.0,0.0,0.0,1.53,35.9,0.0,0.0,0.0,0.0,6.0,6.0,4.59,38.82,38.8,26.6,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17025,Clay County,2.0,1.0,0.0,10000.0,0.0,0.0,1.64,37.2,0.0,0.0,0.0,0.0,8.0,7.0,5.76,52.68,41.9,30.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17027,Clinton County,3.0,0.0,0.0,0.0,0.0,0.0,2.3,7.4,0.0,0.0,0.0,0.0,4.0,3.0,2.3,8.13,25.6,9.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17029,Coles County,4.0,1.0,0.0,32708.0,0.0,0.0,3.03,46.9,0.0,0.0,0.0,0.0,17.0,17.0,12.87,36.28,49.6,38.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17031,Cook County,40.0,6.0,3.0,1286818.0,36266007.0,28005078.0,16.1,98.8,338980.33,1016941.0,0.0,6425.51,1239.0,1091.0,439.0,20.68,93.7,94.6,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17033,Crawford County,2.0,1.0,0.0,9000.0,0.0,0.0,1.73,37.3,0.0,0.0,0.0,0.0,10.0,10.0,8.66,53.54,46.0,29.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17035,Cumberland County,2.0,0.0,0.0,0.0,0.0,0.0,2.23,7.1,0.0,0.0,0.0,0.0,2.0,2.0,2.23,19.14,26.8,10.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17037,DeKalb County,20.0,3.0,0.0,102417.0,0.0,0.0,12.17,66.4,0.0,0.0,0.0,0.0,36.0,35.0,21.29,34.85,56.8,50.1,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17039,De Witt County,6.0,0.0,0.0,0.0,0.0,0.0,5.72,16.7,0.0,0.0,0.0,0.0,4.0,4.0,3.81,25.78,33.7,16.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17041,Douglas County,3.0,1.0,0.0,8700.0,0.0,0.0,2.78,41.4,0.0,0.0,0.0,0.0,11.0,10.0,9.25,50.66,46.0,31.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17043,DuPage County,15.0,2.0,0.0,125989.0,0.0,0.0,17.22,71.4,0.0,0.0,0.0,0.0,258.0,238.0,273.17,25.51,80.7,53.3,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17045,Edgar County,6.0,1.0,0.0,7000.0,0.0,0.0,3.71,43.5,0.0,0.0,0.0,0.0,13.0,13.0,8.04,77.08,49.2,33.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17047,Edwards County,1.0,0.0,0.0,0.0,0.0,0.0,1.73,4.9,0.0,0.0,0.0,0.0,3.0,3.0,5.2,48.04,35.7,13.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17049,Effingham County,4.0,2.0,0.0,27500.0,0.0,0.0,3.22,46.9,0.0,0.0,0.0,0.0,12.0,11.0,8.85,31.73,44.4,33.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17051,Fayette County,5.0,1.0,0.0,9950.0,0.0,0.0,2.66,41.5,0.0,0.0,0.0,0.0,6.0,5.0,2.66,23.27,33.6,32.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17053,Ford County,6.0,2.0,0.0,6200.0,0.0,0.0,4.76,45.7,0.0,0.0,0.0,0.0,4.0,4.0,3.18,29.56,33.7,32.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17055,Franklin County,5.0,1.0,0.0,8000.0,0.0,0.0,4.47,45.9,0.0,0.0,0.0,0.0,11.0,9.0,8.05,23.81,41.4,35.3,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17057,Fulton County,5.0,1.0,0.0,19000.0,0.0,0.0,2.19,41.9,0.0,0.0,0.0,0.0,4.0,3.0,1.31,8.93,24.6,29.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17059,Gallatin County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.18,20.22,22.2,3.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17061,Greene County,2.0,0.0,0.0,0.0,0.0,0.0,1.41,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17063,Grundy County,6.0,2.0,0.0,44300.0,0.0,0.0,5.38,54.0,0.0,0.0,0.0,0.0,20.0,19.0,17.04,36.17,51.5,37.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17065,Hamilton County,3.0,1.0,0.0,1000.0,0.0,0.0,2.66,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17067,Hancock County,14.0,0.0,0.0,0.0,0.0,0.0,6.64,18.3,0.0,0.0,0.0,0.0,3.0,3.0,1.42,17.03,27.4,17.3,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17069,Hardin County,1.0,0.0,0.0,0.0,0.0,0.0,2.13,6.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17071,Henderson County,2.0,0.0,0.0,0.0,0.0,0.0,1.95,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
