County_ID,County_Name,Total_Population,Hispanic_Latino,Not_Hispanic_Latino,Total_One_Race,White,Black_African_American,American_Indian_Alaska_Native,Asian,Native_Hawaiian_Pacific_Islander,Some_Other_Race,Two_or_More_Races,Pct_White,Pct_Black,Pct_Hispanic,Pct_Asian,Pct_Minority,Median_Household_Income,Per_Capita_Income,Poverty_Rate_Percent,Median_Monthly_Housing_Cost,GEOID
508,Adams County,65737,1287,64450,61701,58389,2464,92,500,33,223,2749,88.82,3.75,1.96,0.76,11.18,,,,,17001
3,Alexander County,5240,82,5158,4922,3274,1612,22,6,0,8,236,62.48,30.76,1.56,0.11,37.52,43523.0,25261.0,21.0,,17003
5,Bond County,16725,604,16121,15587,14264,1073,52,94,11,93,534,85.29,6.42,3.61,0.56,14.71,61603.0,32665.0,12.7,,17005
7,Boone County,53448,12880,40568,38759,36689,1171,72,637,9,181,1809,68.64,2.19,24.1,1.19,31.36,81638.0,38437.0,10.5,,17007
9,Brown County,6244,282,5962,5819,4764,1035,7,11,0,2,143,76.3,16.58,4.52,0.18,23.7,72288.0,26527.0,8.9,,17009
11,Bureau County,33244,3095,30149,29189,28511,259,49,298,21,51,960,85.76,0.78,9.31,0.9,14.24,65894.0,36625.0,12.6,,17011
13,Calhoun County,4437,64,4373,4241,4217,7,4,7,0,6,132,95.04,0.16,1.44,0.16,4.96,,,,,17013
15,Carroll County,15702,757,14945,14545,13743,676,49,40,5,32,400,87.52,4.31,4.82,0.25,12.48,60871.0,32921.0,13.6,,17015
17,Cass County,13042,2789,10253,9963,9061,706,36,117,33,10,290,69.48,5.41,21.38,0.9,30.52,64907.0,32047.0,10.9,,17017
19,Champaign County,205865,16666,189199,179151,125280,28215,279,24420,60,897,10048,60.86,13.71,8.1,11.86,39.14,63091.0,37366.0,18.0,1157.0,17019
21,Christian County,34032,1094,32938,31905,31226,380,59,179,1,60,1033,91.75,1.12,3.21,0.53,8.25,59253.0,31989.0,11.1,,17021
23,Clark County,15455,246,15209,14844,14680,54,28,52,0,30,365,94.99,0.35,1.59,0.34,5.01,70625.0,35425.0,9.5,,17023
25,Clay County,13288,223,13065,12639,12481,30,33,77,0,18,426,93.93,0.23,1.68,0.58,6.07,57266.0,33212.0,16.7,,17025
27,Clinton County,36899,1387,35512,34338,32845,1140,80,175,5,93,1174,89.01,3.09,3.76,0.47,10.99,82314.0,41334.0,7.5,,17027
29,Coles County,46863,1768,45095,43329,40352,2043,82,617,24,211,1766,86.11,4.36,3.77,1.32,13.89,56040.0,33965.0,18.4,,17029
31,Cook County,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797.0,47801.0,13.3,1573.0,17031
33,Crawford County,18679,447,18232,17692,16941,608,36,76,2,29,540,90.7,3.25,2.39,0.41,9.3,67614.0,34276.0,11.6,,17033
35,Cumberland County,10450,112,10338,10026,9947,28,13,21,0,17,312,95.19,0.27,1.07,0.2,4.81,69826.0,36270.0,9.9,,17035
37,DeKalb County,100420,13597,86823,82705,71249,8730,119,2280,29,298,4118,70.95,8.69,13.54,2.27,29.05,69022.0,35054.0,15.9,1311.0,17037
39,De Witt County,15516,510,15006,14569,14370,108,19,40,16,16,437,92.61,0.7,3.29,0.26,7.39,64802.0,36977.0,10.1,,17039
41,Douglas County,19740,1565,18175,17658,17420,67,28,103,6,34,517,88.25,0.34,7.93,0.52,11.75,74186.0,34630.0,8.9,,17041
