GEOID,County_Name,Water_Stress_Index,Aqueduct_BWS_Score,Aqueduct_Drought_Score,Aqueduct_GWDecline_Score,Aqueduct_OverallPowerRisk_Score,Aqueduct_DefaultOverall_Score,Aqueduct_Coverage_Pct,Aqueduct_Source
17001,Adams County,20.08,0.0,2.649,,0.94,0.75,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17003,Alexander County,21.6,0.0,2.725,1.301,0.925,0.833,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17005,Bond County,48.86,2.471,2.823,,1.734,1.622,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17007,Boone County,61.81,3.681,2.478,,2.536,2.238,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17009,Brown County,21.26,0.0,2.816,,0.976,0.795,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17011,Bureau County,46.74,2.28,2.714,,1.863,1.604,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17013,Calhoun County,20.29,0.0,2.678,,0.946,0.758,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17015,Carroll County,37.63,1.492,2.687,,1.577,1.329,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17017,Cass County,26.77,0.497,2.818,,1.116,0.881,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17019,Champaign County,40.72,1.775,2.759,,1.525,1.308,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17021,Christian County,33.13,1.077,2.821,,1.261,0.985,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17023,Clark County,42.8,1.962,2.747,,1.603,1.403,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17025,Clay County,36.9,1.441,2.821,,1.295,1.196,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17027,Clinton County,48.86,2.471,2.823,,1.734,1.622,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17029,Coles County,46.86,2.286,2.831,,1.683,1.563,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17031,Cook County,60.68,3.507,2.653,3.149,2.254,2.357,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17033,Crawford County,44.38,2.087,2.778,,1.64,1.467,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17035,Cumberland County,46.15,2.221,2.833,,1.663,1.542,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
