registry_id,source_record_id,name,operator,provider_family,city,state,country,latitude,longitude,status,website,source_system,source_url,record_scope,GEOID,County_Name
CUR-IL-INV-01,IL-INV-01,365 Data Centers Chicago 1,365 Data Centers,Other/Unknown,Chicago,IL,US,41.876,-87.632,extra_inventory,,SoReMo Curated,https://www.datacentermap.com/usa/illinois/chicago/,illinois,17031,Cook County
CUR-IL-INV-02,IL-INV-02,365 Data Centers Chicago 2,365 Data Centers,Other/Unknown,Chicago,IL,US,41.853,-87.62,extra_inventory,,SoReMo Curated,https://www.datacentermap.com/usa/illinois/chicago/,illinois,17031,Cook County
CUR-IL-INV-03,IL-INV-03,Aligned ORD-01,Aligned Data Centers,Other/Unknown,Northlake,IL,US,41.912,-87.905,extra_inventory,,SoReMo Curated,https://www.datacentermap.com/usa/illinois/chicago/,illinois,17031,Cook County
CUR-IL-INV-04,IL-INV-04,Aligned ORD-02,Aligned Data Centers,Other/Unknown,Northlake,IL,US,41.911,-87.905,extra_inventory,,SoReMo Curated,https://www.datacentermap.com/usa/illinois/chicago/,illinois,17031,Cook County
CUR-IL-INV-05,IL-INV-05,Centersquare Chicago Data Center - ORD1,Centersquare,Other/Unknown,nan,IL,US,41.853,-87.619,extra_inventory,,SoReMo Curated,https://data.msdlive.org/records/65g71-a4766,illinois,17031,Cook County
CUR-IL-INV-06,IL-INV-06,Centersquare Elk Grove Village Data Center Campus ORD2,Centersquare,Other/Unknown,nan,IL,US,41.992,-87.958,extra_inventory,,SoReMo Curated,https://data.msdlive.org/records/65g71-a4748,illinois,17043,DuPage County
CUR-IL-INV-07,IL-INV-07,Centersquare Lisle ORD4 Data Center,Centersquare,Other/Unknown,nan,IL,US,41.802,-88.095,extra_inventory,,SoReMo Curated,https://data.msdlive.org/records/65g71-a4765,illinois,17043,DuPage County
CUR-IL-INV-08,IL-INV-08,Centersquare ORD4-A,Centersquare,Other/Unknown,Lisle,IL,US,41.792,-88.085,extra_inventory,,SoReMo Curated,https://www.datacentermap.com/usa/illinois/chicago/,illinois,17043,DuPage County
CUR-IL-PR-04,IL-PR-04,CloudHQ campus (former United Airlines HQ site),CloudHQ,Other/Unknown,Mount Prospect area,IL,US,42.037,-87.951,proposed,,SoReMo Curated,https://www.dailyherald.com/20251027/technology/new-data-center-proposal-comes-before-mount-prospect-board/,illinois,17031,Cook County
CUR-IL-PR-03,IL-PR-03,Compass Datacenters campus (former Sears HQ),Compass Datacenters,Other/Unknown,Hoffman Estates,IL,US,42.064,-88.121,proposed,,SoReMo Curated,https://www.compassdatacenters.com/news/compass-kicks-off-development-of-its-first-hyperscale-campus-in-illinois/,illinois,17031,Cook County
CUR-IL-EX-06,IL-EX-06,CoreSite CH1,CoreSite,Other/Unknown,Chicago,IL,US,41.876,-87.632,existing,,SoReMo Curated,https://www.coresite.com/data-center/ch1-chicago-il,illinois,17031,Cook County
