"FID","Data_Year","eGRID_subregion_acronym","Plant_annual_net_generation__MW","Plant_annual_CO2_emissions__ton","Plant_annual_coal_net_generatio","Plant_annual_oil_net_generation","Plant_annual_gas_net_generation","Plant_annual_other_fossil_net_g","Plant_annual_nuclear_net_genera","Plant_annual_hydro_net_generati","Plant_annual_biomass_net_genera","Plant_annual_wind_net_generatio","Plant_annual_solar_net_generati"
"1","2023","CAMX","53738",,"0","0","0","0","0","0","0","0","53738"
"2","2023","CAMX","0",,"0","0","0","0","0","0","0","0","0"
"3","2023","CAMX","27194.02","8739.284","0","0","27194.02","0","0","0","0","0","0"
"4","2023","CAMX","3169",,"0","0","0","0","0","0","0","0","3169"
"5","2023","CAMX","3616",,"0","0","0","0","0","0","0","0","3616"
"6","2023","CAMX","3391",,"0","0","0","0","0","0","0","0","3391"
"7","2023","CAMX","0",,"0","0","0","0","0","0","0","0","0"
"8","2023","CAMX","24812","9632.169","0","0","24812","0","0","0","0","0","0"
"9","2023","CAMX",,,,,,,,,,,
"10","2023","CAMX","3283",,"0","0","0","0","0","3283","0","0","0"
"11","2023","NWPP","2309",,"0","0","0","0","0","0","0","0","2309"
"12","2023","CAMX",,,,,,,,,,,
"13","2023","CAMX","1974",,"0","0","0","0","0","0","0","0","1974"
"14","2023","CAMX","6725",,"0","0","0","0","0","0","0","0","6725"
"15","2023","CAMX","184360",,"0","0","0","0","0","184360","0","0","0"
"16","2023","CAMX","489703",,"0","0","0","0","0","489703","0","0","0"
"17","2023","CAMX","20405","14438.49","0","0","20405","0","0","0","0","0","0"
"18","2023","CAMX","47358",,"0","0","0","0","0","0","0","0","47358"
"19","2023","CAMX","44864",,"0","0","0","0","0","0","0","0","44864"
"20","2023","CAMX","45578",,"0","0","0","0","0","0","0","0","45578"
"21","2023","CAMX","-1269",,"0","0","0","0","0","0","0","0","0"
"22","2023","CAMX","119893",,"0","0","0","0","0","0","0","0","119893"
"23","2023","CAMX","97186",,"0","0","0","0","0","0","0","0","97186"
"24","2023","CAMX","5562",,"0","0","0","0","0","5562","0","0","0"
"25","2023","CAMX","3873",,"0","0","0","0","0","0","0","0","3873"
