COUNTY,STATEABBRV,STCOFIPS,EAL_SCORE,SOVI_SCORE,RESL_SCORE,HWAV_AFREQ,HWAV_RISKS,HWAV_RISKR,HWAV_EALT,HWAV_EALR,HWAV_ALR_NPCTL,GEOID,County_Name
Adams,IL,17001,68.7190594059406,29.6437659,92.01653944020356,8.421052631578931,91.23314065510597,Relatively Moderate,3649429.0535604404,Relatively Moderate,33.38538413491568,17001,Adams County
Alexander,IL,17003,33.01361386138614,86.76844784,42.43002544529262,11.15789473684211,50.224791265253685,Relatively Low,257440.51365026718,Relatively Low,16.146158650843223,17003,Alexander County
Bond,IL,17005,39.35643564356436,43.73409669,76.78117048346056,10.315789473684196,65.9601798330122,Relatively Low,745051.8735153702,Relatively Low,24.047470331043098,17005,Bond County
Boone,IL,17007,62.5,27.89440204,72.2328244274809,3.0000000000000058,46.82080924855491,Relatively Low,349587.325541576,Relatively Low,25.234228607120553,17007,Boone County
Brown,IL,17009,5.600247524752476,33.55597964,71.08778625954199,8.368421052631588,62.55619781631342,Relatively Low,686342.3043979044,Relatively Low,18.769519050593377,17009,Brown County
Bureau,IL,17011,64.26361386138613,41.69847328,80.08905852417303,6.52631578947368,48.16955684007707,Relatively Low,338543.6924726912,Relatively Low,19.23797626483448,17011,Bureau County
Calhoun,IL,17013,8.879950495049505,17.77989822,74.96819338422391,11.368421052631573,59.60179833012202,Relatively Low,686305.4730284702,Relatively Low,7.339163023110556,17013,Calhoun County
Carroll,IL,17015,38.521039603960396,55.37531807,69.40203562340967,5.052631578947369,35.966602440590876,Very Low,167583.03061043407,Very Low,50.9369144284822,17015,Carroll County
Cass,IL,17017,42.698019801980195,38.74045802,76.65394402035624,8.210526315789467,64.83622350674374,Relatively Low,731384.4037998553,Relatively Low,11.055590256089944,17017,Cass County
Champaign,IL,17019,90.25371287128714,30.8524173,86.29134860050891,6.473684210526346,89.14579319203597,Relatively Moderate,3042344.817367649,Relatively Moderate,69.17551530293566,17019,Champaign County
Christian,IL,17021,63.242574257425744,17.04834606,84.98727735368958,7.947368421052622,68.17597944765575,Relatively Low,1033957.3549883149,Relatively Low,12.148657089319176,17021,Christian County
Clark,IL,17023,30.167079207920793,42.68447837,67.1119592875318,7.526315789473678,52.79383429672448,Relatively Low,417700.72259403986,Relatively Low,67.9575265459088,17023,Clark County
Clay,IL,17025,41.86262376237624,52.03562341,88.07251908396947,8.052631578947388,62.10661528580603,Relatively Low,586597.2095322168,Relatively Low,8.40099937539038,17025,Clay County
Clinton,IL,17027,70.38985148514851,27.63994911,88.77226463104326,10.94736842105263,77.23185613359024,Relatively Low,1440023.2357903356,Relatively Low,23.95377888819488,17027,Clinton County
Coles,IL,17029,72.95792079207921,30.62977099,73.95038167938931,7.21052631578947,70.74502247912653,Relatively Low,1007314.7682953891,Relatively Low,7.495315427857589,17029,Coles County
Cook,IL,17031,99.9690594059406,61.73664122,73.2824427480916,2.9026886558101475,99.83943481053308,Very High,193392333.51957452,Very High,22.361024359775143,17031,Cook County
Crawford,IL,17033,48.63861386138614,17.23918575,75.50890585241731,7.894736842105262,55.42710340398202,Relatively Low,586592.4183593702,Relatively Low,6.402248594628357,17033,Crawford County
Cumberland,IL,17035,23.762376237623762,63.23155216,88.13613231552164,7.578947368421055,43.93063583815029,Relatively Low,235670.60889601146,Relatively Low,9.306683322923174,17035,Cumberland County
DeKalb,IL,17037,82.76608910891089,29.19847328,75.85877862595419,3.4210526315789487,58.991650610147715,Relatively Low,599912.6215912139,Relatively Low,29.138038725796378,17037,DeKalb County
De Witt,IL,17039,33.10643564356436,41.18956743,95.19720101781171,6.789473684210531,48.1053307642903,Relatively Low,342661.723280444,Relatively Low,7.932542161149282,17039,De Witt County
Douglas,IL,17041,59.777227722772274,57.91984733,63.13613231552163,6.947368421052633,53.53243416827232,Relatively Low,384433.31938867556,Relatively Low,8.057464084946908,17041,Douglas County
DuPage,IL,17043,98.39108910891089,15.80788804,71.7557251908397,3.118009961099179,93.32048811817599,Relatively Moderate,5626743.673204555,Relatively Moderate,74.17239225484073,17043,DuPage County
Edgar,IL,17045,41.089108910891085,32.56997455,70.26081424936386,6.842105263157889,59.4412331406551,Relatively Low,589987.5625118664,Relatively Low,65.39662710805746,17045,Edgar County
Edwards,IL,17047,18.53341584158416,84.09669211,61.54580152671756,9.105263157894731,48.97238278741169,Relatively Low,254818.2120195317,Relatively Low,6.964397251717676,17047,Edwards County
Effingham,IL,17049,61.386138613861384,22.96437659,95.0381679389313,7.947368421052619,66.85934489402698,Relatively Low,906518.7024212572,Relatively Low,10.80574640849469,17049,Effingham County
Fayette,IL,17051,50.92821782178218,45.48346056,92.43002544529261,9.947368421052607,70.90558766859345,Relatively Low,920271.8739678485,Relatively Low,16.17738913179263,17051,Fayette County
Ford,IL,17053,30.105198019801982,39.21755725,91.79389312977099,4.842105263157889,31.34232498394348,Very Low,147568.8029481276,Very Low,76.17114303560275,17053,Ford County
Franklin,IL,17055,74.13366336633663,83.30152672,68.8295165394402,10.105263157894703,87.37957610789981,Relatively Moderate,1784613.3999022562,Relatively Moderate,7.776389756402248,17055,Franklin County
Fulton,IL,17057,62.25247524752475,35.94147583,77.60814249363868,6.947368421052632,76.71804752729608,Relatively Low,1299368.4990203467,Relatively Low,15.14678326046221,17057,Fulton County
