"Label (Grouping)","Illinois!!Occupied housing units!!Estimate","Illinois!!Occupied housing units!!Margin of Error","Illinois!!Percent occupied housing units!!Estimate","Illinois!!Percent occupied housing units!!Margin of Error","Illinois!!Owner-occupied housing units!!Estimate","Illinois!!Owner-occupied housing units!!Margin of Error","Illinois!!Percent owner-occupied housing units!!Estimate","Illinois!!Percent owner-occupied housing units!!Margin of Error","Illinois!!Renter-occupied housing units!!Estimate","Illinois!!Renter-occupied housing units!!Margin of Error","Illinois!!Percent renter-occupied housing units!!Estimate","Illinois!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","5,105,448","±12,305","5,105,448","±12,305","3,449,961","±23,137","3,449,961","±23,137","1,655,487","±20,596","1,655,487","±20,596"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"        Less than $5,000","191,627","±8,725","3.8%","±0.2","73,840","±5,566","2.1%","±0.2","117,787","±7,164","7.1%","±0.4"
"        $5,000 to $9,999","90,026","±5,440","1.8%","±0.1","35,806","±3,099","1.0%","±0.1","54,220","±5,055","3.3%","±0.3"
"        $10,000 to $14,999","162,907","±7,152","3.2%","±0.1","57,997","±4,128","1.7%","±0.1","104,910","±7,323","6.3%","±0.4"
"        $15,000 to $19,999","133,385","±6,818","2.6%","±0.1","56,389","±4,001","1.6%","±0.1","76,996","±6,432","4.7%","±0.4"
"        $20,000 to $24,999","152,324","±7,367","3.0%","±0.1","74,491","±4,635","2.2%","±0.1","77,833","±5,729","4.7%","±0.3"
"        $25,000 to $34,999","315,945","±11,055","6.2%","±0.2","154,131","±7,104","4.5%","±0.2","161,814","±9,576","9.8%","±0.5"
"        $35,000 to $49,999","505,936","±13,498","9.9%","±0.3","284,936","±8,359","8.3%","±0.2","221,000","±10,851","13.3%","±0.6"
"        $50,000 to $74,999","754,046","±13,563","14.8%","±0.3","477,546","±10,450","13.8%","±0.3","276,500","±9,625","16.7%","±0.5"
"        $75,000 to $99,999","639,584","±14,339","12.5%","±0.3","442,497","±12,144","12.8%","±0.3","197,087","±10,255","11.9%","±0.6"
"        $100,000 to $149,999","927,227","±15,419","18.2%","±0.3","721,916","±14,856","20.9%","±0.4","205,311","±9,898","12.4%","±0.6"
"        $150,000 or more","1,232,441","±16,595","24.1%","±0.3","1,070,412","±16,426","31.0%","±0.4","162,029","±8,372","9.8%","±0.5"
"        Median household income (dollars)","83,211","±898","83,211","±898","102,814","±885","102,814","±885","50,810","±920","50,810","±920"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","",""
"        Less than $300","124,895","±5,942","2.4%","±0.1","78,821","±3,887","2.3%","±0.1","46,074","±4,682","2.8%","±0.3"
"        $300 to $499","277,370","±7,829","5.4%","±0.2","213,497","±5,939","6.2%","±0.2","63,873","±4,763","3.9%","±0.3"
"        $500 to $799","634,893","±11,882","12.4%","±0.2","479,712","±10,857","13.9%","±0.3","155,181","±7,187","9.4%","±0.4"
"        $800 to $999","539,249","±11,983","10.6%","±0.2","349,231","±10,468","10.1%","±0.3","190,018","±8,225","11.5%","±0.5"
"        $1,000 to $1,499","1,209,521","±17,713","23.7%","±0.4","701,924","±13,685","20.3%","±0.4","507,597","±13,026","30.7%","±0.7"
"        $1,500 to $1,999","842,715","±16,377","16.5%","±0.3","530,345","±13,339","15.4%","±0.4","312,370","±10,250","18.9%","±0.6"
"        $2,000 to $2,499","549,691","±16,211","10.8%","±0.3","391,970","±12,119","11.4%","±0.3","157,721","±9,739","9.5%","±0.6"
"        $2,500 to $2,999","322,282","±10,021","6.3%","±0.2","249,965","±8,684","7.2%","±0.2","72,317","±6,407","4.4%","±0.4"
"        $3,000 or more","534,539","±12,342","10.5%","±0.2","454,496","±12,094","13.2%","±0.3","80,043","±5,561","4.8%","±0.3"
"        No cash rent","70,293","±4,907","1.4%","±0.1","(X)","(X)","(X)","(X)","70,293","±4,907","4.2%","±0.3"
"        Median (dollars)","1,378","±8","1,378","±8","1,421","±13","1,421","±13","1,322","±12","1,322","±12"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","",""
"        Less than $20,000","481,442","±10,575","9.4%","±0.2","193,240","±7,288","5.6%","±0.2","288,202","±10,645","17.4%","±0.6"
"            Less than 20 percent","11,317","±1,744","0.2%","±0.1","7,487","±1,259","0.2%","±0.1","3,830","±1,212","0.2%","±0.1"
"            20 to 29 percent","34,338","±3,608","0.7%","±0.1","10,584","±1,553","0.3%","±0.1","23,754","±3,265","1.4%","±0.2"
"            30 percent or more","435,787","±10,434","8.5%","±0.2","175,169","±7,497","5.1%","±0.2","260,618","±10,134","15.7%","±0.6"
