ST_ABBR,COUNTY,FIPS,E_TOTPOP,EP_POV150,EP_HBURD,EP_NOHSDP,EP_NOVEH,EP_UNEMP,EP_UNINSUR,EP_GROUPQ,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
IL,Adams,17001,65670,20.9,20.0,7.8,7.3,4.1,4.8,2.1,0.1696,0.4195,0.2778,0.5652,0.2829
IL,Alexander,17003,6011,37.9,27.5,14.2,10.4,7.7,7.9,2.6,0.8896,0.9115,0.7642,0.8323,0.923
IL,Bond,17005,16520,24.8,19.2,10.1,7.2,2.6,6.1,10.8,0.2218,0.0955,0.3908,0.9831,0.4335
IL,Boone,17007,53293,14.7,25.9,13.3,3.4,7.5,5.3,0.7,0.5185,0.6945,0.6502,0.085,0.4153
IL,Brown,17009,6599,23.1,14.6,17.6,5.8,3.1,6.2,28.1,0.2718,0.1302,0.6353,0.9144,0.4554
IL,Bureau,17011,32878,21.8,19.7,9.3,5.8,5.0,4.8,1.3,0.2518,0.6671,0.4023,0.1588,0.2721
IL,Calhoun,17013,4782,14.4,16.0,6.4,3.3,4.4,1.0,2.6,0.042,0.1731,0.0344,0.0936,0.0309
IL,Carroll,17015,14398,17.9,19.1,9.9,4.6,5.8,5.3,4.0,0.2543,0.106,0.2094,0.2237,0.147
IL,Cass,17017,12324,24.1,19.5,16.6,5.9,6.4,4.8,1.3,0.4911,0.8132,0.6232,0.3151,0.5532
IL,Champaign,17019,210006,26.6,29.2,5.1,11.6,4.8,4.4,7.3,0.3854,0.0522,0.7212,0.9905,0.5605
IL,Christian,17021,32705,23.2,19.8,11.8,4.8,3.4,4.8,5.2,0.2374,0.1474,0.0907,0.3587,0.1808
IL,Clark,17023,15602,18.4,16.7,6.8,4.3,4.0,3.7,1.3,0.0652,0.5449,0.0223,0.0735,0.071
IL,Clay,17025,13217,25.9,16.5,12.3,4.2,5.6,5.2,2.7,0.3616,0.711,0.0426,0.4338,0.3997
IL,Clinton,17027,37549,16.4,17.8,9.8,4.4,3.1,4.1,5.9,0.0799,0.0929,0.2855,0.507,0.1321
IL,Coles,17029,51065,29.7,25.9,9.1,8.2,6.8,7.0,7.7,0.6757,0.0633,0.3001,0.8768,0.5407
IL,Cook,17031,5169517,21.8,31.8,12.3,17.7,7.0,8.7,1.8,0.754,0.395,0.916,0.8762,0.8004
IL,Crawford,17033,18833,20.3,20.2,13.9,5.9,4.0,6.8,12.7,0.3313,0.2954,0.2928,0.7486,0.4157
IL,Cumberland,17035,10787,19.8,14.7,8.1,3.2,2.3,4.9,1.2,0.0624,0.0796,0.0239,0.0605,0.0175
IL,DeKalb,17037,104588,21.6,30.1,7.9,6.5,6.6,5.1,4.3,0.5045,0.1836,0.6085,0.6754,0.4952
IL,De Witt,17039,15764,20.8,19.2,7.3,3.4,4.8,3.9,1.7,0.1601,0.0547,0.126,0.0544,0.0439
