year,community_area,noise_count
2019,1,1
2019,2,7
2019,3,6
2019,4,2
2019,6,1
2019,7,2
2019,8,9
2019,9,4
2019,10,35
2019,11,8
2019,12,15
2019,13,3
2019,14,3
2019,15,7
2019,16,4
2019,17,7
2019,18,1
2019,19,2
2019,20,2
2019,21,4
2019,23,3
2019,24,3
2019,25,105
2019,26,30
2019,27,18
2019,28,21
2019,29,5
2019,30,3
2019,31,21
2019,32,38
2019,33,49
2019,34,40
2019,35,16
2019,36,1
2019,37,7
2019,38,6
2019,40,1
2019,42,3
2019,45,1
2019,49,1
2019,51,2
2019,53,1
2019,56,87
2019,57,2
2019,58,1
2019,59,5
2019,60,31
2019,61,11
2019,62,2
2019,63,1
2019,64,2
2019,66,1
2019,67,2
2019,68,3
2019,69,11
2019,70,7
2019,72,2
2019,73,1
2019,75,1
2019,76,332249
2019,77,28
2020,2,2
2020,5,1
2020,6,1
2020,11,3
2020,13,1
2020,16,1
2020,23,2
2020,24,1
2020,25,2
2020,27,1
2020,37,1
2020,51,1
2020,56,54
2020,58,1
2020,64,3
2020,73,1
2020,75,1
2020,76,258621
2021,4,2
2021,7,1
2021,10,17
2021,11,1
2021,12,32
2021,13,3
2021,15,1
2021,16,3
2021,19,1
2021,32,2
2021,40,1
2021,51,1
2021,56,71
2021,60,2
2021,65,1
2021,66,1
2021,72,2
2021,75,2
2021,76,316938
2022,1,2
2022,4,2
2022,9,1
2022,10,8
2022,12,7
2022,13,1
2022,14,1
2022,16,1
2022,24,1
2022,26,1
2022,28,1
2022,29,1
2022,30,1
2022,31,1
2022,41,2
2022,46,1
2022,56,99
2022,57,1
2022,60,1
2022,62,1
2022,65,2
2022,70,2
2022,72,4
2022,76,325576
2022,77,1
2023,2,1
2023,3,1
2023,6,1
2023,9,1
2023,10,8
2023,11,1
2023,12,4
2023,13,3
2023,16,4
2023,17,1
2023,22,1
2023,23,1
2023,25,1
2023,28,1
2023,31,1
2023,51,1
2023,52,1
2023,56,56
2023,57,2
2023,60,1
2023,65,1
2023,66,1
2023,70,2
2023,72,1
2023,75,2
2023,76,308075
2023,77,2
2024,2,4
2024,8,1
2024,10,8
2024,11,1
2024,12,9
2024,19,1
2024,25,1
2024,28,5
2024,46,1
2024,48,1
2024,49,1
2024,56,26
2024,57,1
2024,58,1
2024,63,2
2024,64,1
2024,65,3
2024,72,4
2024,74,1
2024,75,2
2024,76,343632
2024,77,2
2025,4,1
2025,6,2
2025,9,1
2025,12,1
2025,27,1
2025,32,4
2025,43,2
2025,44,1
2025,53,1
2025,56,4
2025,61,1
2025,69,1
2025,72,2
2025,76,364900
2025,77,1
2026,12,1
2026,27,1
2026,44,1
2026,56,1
2026,63,1
2026,76,76551
