tri_facility_id,facility_name,street_address,city_name,county_name,state_county_fips_code,state_abbr,zip_code,region,fac_closed_ind,mail_name,mail_street_address,mail_city,mail_state_abbr,mail_province,mail_country,mail_zip_code,asgn_federal_ind,asgn_agency,frs_id,parent_co_db_num,parent_co_name,fac_latitude,fac_longitude,pref_latitude,pref_longitude,pref_accuracy,pref_collect_meth,pref_desc_category,pref_horizontal_datum,pref_source_scale,pref_qa_code,asgn_partial_ind,asgn_public_contact,asgn_public_phone,asgn_public_contact_email,bia_code,standardized_parent_company,asgn_public_phone_ext,epa_registry_id,asgn_technical_contact,asgn_technical_phone,asgn_technical_phone_ext,mail,asgn_technical_contact_email,foreign_parent_co_name,foreign_parent_co_db_num,standardized_foreign_parent_company
60002CRCTS896AN,CIRCUIT SYSTEMS INC,896 ANITA AVE,ANTIOCH,LAKE,17097,IL,60002,5,0,CIRCUIT SYSTEMS INC,896 ANITA AVE,ANTIOCH,IL,,,60002,C,,,NA,NA,422831.0,880526.0,42.475278,88.090556,150.0,UN,UN,1,U,1010,0,VITHAL V PATEL,8474391999,,,,,110000428653,,,,,,,,
60002NWYSP905AN,NUWAY SPEAKER PRODUCTS INC,945 ANITA AVE,ANTIOCH,LAKE,17097,IL,60002,5,0,NUWAY SPEAKER PRODUCTS INC,945 ANITA AVE,ANTIOCH,IL,,,60002,C,,,NA,NA,422839.0,880524.0,,,,,,,,,0,GEORGE WISE,8473955141,GWISE@NUWAY-SPEAKER.COM,,,,110001368323,,,,,,,,
60002PCKRD782PI,PICKARD INC,782 PICKARD AVE,ANTIOCH,LAKE,17097,IL,60002,5,0,PICKARD INC,782 PICKARD AVE,ANTIOCH,IL,,,60002,C,,,,NA,422854.0,880534.0,,,,,,,,,0,ANDREW MORGAN,8473953800,AMORGAN@PICKARDCHINA.COM,,NA,,110001290683,,,,,,,,
60002VHCLM151SR,IMMI VEHICLE IMPROVEMENT PRODUCTS,151 RAM RD,ANTIOCH,LAKE,17097,IL,60002,5,0,IMMI VEHICLE IMPROVEMENT PRODUCTS,151 RAM RD,ANTIOCH,IL,,,60002,C,,,006063101,IMMI HOLDINGS INC,422813.0,880512.0,,,,,,,,,0,GARY SANTOS,8473957255,GSANTOS@IMMINET.COM,,IMMI HOLDINGS INC,23,110008058813,,,,,,,,
60004HNYWL1500W,HONEYWELL INC,1500 W DUNDEE RD,ARLINGTON HEIGHTS,COOK,17031,IL,60004,5,0,HONEYWELL INC,1500 W DUNDEE RD,ARLINGTON HEIGHTS,IL,,,60004,C,,,001325240,HONEYWELL INC,420820.0,880015.0,42.138889,88.004167,150.0,UN,UN,1,U,1010,0,WANDA TANNER,7083944000,,,,,110043572005,,,,,,,,
60004MTRLN1501W,MOTOROLA INC,1501 W SHURE DR,ARLINGTON HEIGHTS,COOK,17031,IL,60004,5,0,MOTOROLA INC,1501 W SHURE DR,ARLINGTON HEIGHTS,IL,,,60004,C,,,NA,MOTOROLA INC,420804.0,880000.0,42.134444,88.0,150.0,UN,UN,1,U,1010,0,SCOTT WYMAN,8476324691,,,,,110000768401,,,,,,,,
60004NRTHR600WU,NORTHROP CORP DEFENSE SYSTEMS DIV,600 W UNIVERSITY,ARLINGTON HEIGHTS,COOK,17031,IL,60004,5,1,NORTHROP CORP DEFENSE SYSTEMS DIV,600 W UNIVERSITY,ARLINGTON HEIGHTS,IL,,,60004,C,,,008255408,NORTHROP GRUMMAN CORP,420815.0,875941.0,42.1375,87.994722,150.0,UN,UN,1,U,1010,0,EDWARD GLOD PH.D,3122599600,,,,,110002447424,,,,,,,,
60004RKXRY600WU,VARIAN X-RAY PRODUCTS,600 W UNIVERSITY AVE,ARLINGTON HEIGHTS,COOK,17031,IL,60004,5,0,VARIAN X-RAY PRODUCTS,600 W UNIVERSITY AVE,ARLINGTON HEIGHTS,IL,,,60004,C,,,009120817,VARIAN MEDICAL SYSTEMS,420815.0,875941.0,42.1375,87.994722,150.0,UN,UN,1,U,1010,0,J. C. SMITH,8019735017,,,,,110000428662,,,,,,,,
60005BRKND511WA,BUHRKE INDUSTRIES LLC,501-511 W ALGONQUIN RD,ARLINGTON HEIGHTS,COOK,17031,IL,60005,5,0,BUHRKE INDUSTRIES LLC,511 W. ALGONQUIN ROAD,ARLINGTON HEIGHTS,IL,,,60005,C,,,177860801,IMS COS LLC,0.0,0.0,42.041667,87.983333,150.0,UN,UN,1,U,1010,0,LUZ LOPEZ,8479817550,LLOPEZ@IMSMFG.COM,,IMS COS LLC,6533,110000428671,,,,,,NA,,NA
60005BRTTN3010M,BRITT INDUSTRIES INC,3010 MALMO DR,ARLINGTON HEIGHTS,COOK,17031,IL,60005,5,0,BRITT INDUSTRIES INC,3010 MALMO DR,ARLINGTON HEIGHTS,IL,,,60005,C,,,NA,NA,420156.0,875651.0,,,,,,,,,0,BILL SCHROLL,8476401177,,,,,110000768410,,,,,,,,
60005CTGRL2316T,CITGO ARLINGTON HEIGHTS TERMINAL,2316 TERMINAL DR,ARLINGTON HEIGHTS,COOK,17031,IL,60005,5,0,CITGO ARLINGTON HEIGHTS TERMINAL,2316 TERMINAL DR,ARLINGTON HEIGHTS,IL,,,60005,C,,,102417268,CITGO PETROLEUM CORP,,,,,,,,,,,0,KATE ROBBINS,8324865764,,,,,110024942794,,,,,,,,
